Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,details,image_url,year,decadef,type,tool,rgb_colors,hex_colors
0,0,0,0,0,Self Portrait,1951 - Oil on paper 12 3/8 x 8 1/2 in,https://www.hockney.com/img/gallery/paintings/50s/51A01.jpg,1951,1950s,paintings,,"[[121, 127, 109], [8, 22, 9], [204, 132, 25], [10, 69, 27], [116, 75, 31]]","['#797f6d', '#081609', '#cc8419', '#0a451b', '#744b1f']"
1,1,1,1,1,Still Life with Bowl of Fruit,1951 - Oil on paper 9 3/4 x 11 1/8 in,https://www.hockney.com/img/gallery/paintings/50s/51A02.jpg,1951,1950s,paintings,,"[[14, 32, 16], [162, 45, 18], [185, 87, 61], [93, 94, 50], [221, 192, 170]]","['#0e2010', '#a22d12', '#b9573d', '#5d5e32', '#ddc0aa']"
2,2,2,2,2,Tunwell Lane,1957 - Oil on canvas 29 x 36 in,https://www.hockney.com/img/gallery/paintings/50s/53A01.jpg,1957,1950s,paintings,,"[[208, 206, 187], [29, 35, 29], [105, 107, 74], [64, 69, 46], [154, 158, 135]]","['#d0cebb', '#1d231d', '#696b4a', '#40452e', '#9a9e87']"
3,3,3,3,3,Self Portrait,1954 - Oil on board 18 x 14 in,https://www.hockney.com/img/gallery/paintings/50s/54A13.jpg,1954,1950s,paintings,,"[[201, 152, 113], [221, 177, 138], [73, 60, 46], [175, 126, 88], [127, 98, 72]]","['#c99871', '#ddb18a', '#493c2e', '#af7e58', '#7f6248']"
4,4,4,4,4,Portrait of My Father,1955 - Oil on canvas 20 x 16 in,https://www.hockney.com/img/gallery/paintings/50s/55A01.jpg,1955,1950s,paintings,,"[[140, 95, 59], [24, 20, 21], [136, 106, 75], [90, 74, 47], [64, 55, 43]]","['#8c5f3b', '#181415', '#886a4b', '#5a4a2f', '#40372b']"
5,5,5,5,5,Composition in Yellow and Orange,"1955 - Oil on plywood, battened 30 x 22 in",https://www.hockney.com/img/gallery/paintings/50s/55A04.jpg,1955,1950s,paintings,,"[[210, 139, 10], [186, 175, 135], [117, 140, 110], [109, 107, 52], [30, 94, 88]]","['#d28b0a', '#baaf87', '#758c6e', '#6d6b34', '#1e5e58']"
6,6,6,6,6,Self Portrait,1955 - Oil on plywood 24 x 18 in,https://www.hockney.com/img/gallery/paintings/50s/55A06.jpg,1955,1950s,paintings,,"[[10, 27, 15], [200, 93, 18], [84, 46, 13], [22, 57, 50], [246, 159, 96]]","['#0a1b0f', '#c85d12', '#542e0d', '#163932', '#f69f60']"
7,7,7,7,7,Abstraction,1955 - Oil on hardboard 48 x 32 in,https://www.hockney.com/img/gallery/paintings/50s/55A08.jpg,1955,1950s,paintings,,"[[165, 148, 135], [208, 186, 184], [188, 136, 88], [95, 92, 87], [194, 65, 46]]","['#a59487', '#d0bab8', '#bc8858', '#5f5c57', '#c2412e']"
8,8,8,8,8,"Bolton Junction, Eccleshill",1956 - Oil on board 48 x 40 in,https://www.hockney.com/img/gallery/paintings/50s/56A01.jpg,1956,1950s,paintings,,"[[176, 183, 165], [101, 125, 105], [206, 206, 194], [148, 158, 136], [75, 78, 58]]","['#b0b7a5', '#657d69', '#cecec2', '#949e88', '#4b4e3a']"
9,9,9,9,9,Landscape,1956 - 1957 - Oil on board 15 1/8 x 23 3/4 in,https://www.hockney.com/img/gallery/paintings/50s/56A11.jpg,1956,1950s,paintings,,"[[122, 129, 54], [13, 40, 11], [66, 92, 21], [238, 207, 177], [158, 159, 112]]","['#7a8136', '#0d280b', '#425c15', '#eecfb1', '#9e9f70']"
