,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,details,image_url,decade,year,decadef,type,tool
0,0,0,0,0,Self Portrait,1951 - Oil on paper 12 3/8 x 8 1/2 in,https://www.hockney.com/img/gallery/paintings/50s/51A01.jpg,1950.0,1951.0,1950s,paintings,
1,1,1,1,1,Still Life with Bowl of Fruit,1951 - Oil on paper 9 3/4 x 11 1/8 in,https://www.hockney.com/img/gallery/paintings/50s/51A02.jpg,1950.0,1951.0,1950s,paintings,
2,2,2,2,2,Tunwell Lane,1957 - Oil on canvas 29 x 36 in,https://www.hockney.com/img/gallery/paintings/50s/53A01.jpg,1950.0,1957.0,1950s,paintings,
3,3,3,3,3,Self Portrait,1954 - Oil on board 18 x 14 in,https://www.hockney.com/img/gallery/paintings/50s/54A13.jpg,1950.0,1954.0,1950s,paintings,
4,4,4,4,4,Portrait of My Father,1955 - Oil on canvas 20 x 16 in,https://www.hockney.com/img/gallery/paintings/50s/55A01.jpg,1950.0,1955.0,1950s,paintings,
5,5,5,5,5,Composition in Yellow and Orange,"1955 - Oil on plywood, battened 30 x 22 in",https://www.hockney.com/img/gallery/paintings/50s/55A04.jpg,1950.0,1955.0,1950s,paintings,
6,6,6,6,6,Self Portrait,1955 - Oil on plywood 24 x 18 in,https://www.hockney.com/img/gallery/paintings/50s/55A06.jpg,1950.0,1955.0,1950s,paintings,
7,7,7,7,7,Abstraction,1955 - Oil on hardboard 48 x 32 in,https://www.hockney.com/img/gallery/paintings/50s/55A08.jpg,1950.0,1955.0,1950s,paintings,
8,8,8,8,8,"Bolton Junction, Eccleshill",1956 - Oil on board 48 x 40 in,https://www.hockney.com/img/gallery/paintings/50s/56A01.jpg,1950.0,1956.0,1950s,paintings,
9,9,9,9,9,Landscape,1956 - 1957 - Oil on board 15 1/8 x 23 3/4 in,https://www.hockney.com/img/gallery/paintings/50s/56A11.jpg,1950.0,1956.0,1950s,paintings,
10,10,10,10,10,"Moorside Road, Fagley",1956 - Oil on canvas 19 1/4 x 28 in,https://www.hockney.com/img/gallery/paintings/50s/56A12.jpg,1950.0,1956.0,1950s,paintings,
11,11,11,11,11,Labor Omnia Vincit,1956 - 1957 - Oil on board 71 3/4 x 47 3/4 in,https://www.hockney.com/img/gallery/paintings/50s/56A13.jpg,1950.0,1956.0,1950s,paintings,
12,12,12,12,12,"Bolton Junction, Eccleshill, Bradford",1956 - Oil on canvas 24 x 18 in,https://www.hockney.com/img/gallery/paintings/50s/56A21.jpg,1950.0,1956.0,1950s,paintings,
13,13,13,13,13,Nude,1957 - Oil on board 48 x 72 1/2 in,https://www.hockney.com/img/gallery/paintings/50s/57A19.jpg,1950.0,1957.0,1950s,paintings,
14,14,14,14,14,"Hen Run, Eccleshill",1954 - Oil on board 23 1/2 x 29 in,https://www.hockney.com/img/gallery/paintings/50s/57A25.jpg,1950.0,1954.0,1950s,paintings,
15,15,15,15,15,Builders,1954 - Oil on board 19 7/8 x 30 in,https://www.hockney.com/img/gallery/paintings/50s/57A26.jpg,1950.0,1954.0,1950s,paintings,
16,16,16,16,16,"Roadmenders, Eccleshill",1957 - Oil on canvas stretched over board 48 x 33 1/4 in,https://www.hockney.com/img/gallery/paintings/50s/57A29.jpg,1950.0,1957.0,1950s,paintings,
17,17,17,17,17,A Study of Trees in a Landscape,1957 - Oil on board 17 x 21 in,https://www.hockney.com/img/gallery/paintings/50s/57A34.jpg,1950.0,1957.0,1950s,paintings,
18,18,18,18,18,"The Village Street, Kirton, near Felixstowe, Suffolk",1957 - Oil on board 16 x 24 in,https://www.hockney.com/img/gallery/paintings/50s/57A38.jpg,1950.0,1957.0,1950s,paintings,
19,19,19,19,19,American Collectors (Fred & Marcia Weisman),1968 - acrylic on canvas 84x120 in.,https://www.hockney.com/img/gallery/paintings/60s/68A21.jpg,1960.0,1968.0,1960s,paintings,
20,20,20,20,20,A Bigger Splash,1967 - acrylic on canvas 96x96 in.,https://www.hockney.com/img/gallery/paintings/60s/67A34.jpg,1960.0,1967.0,1960s,paintings,
21,21,21,21,21,A Lawn Being Sprinkled,1967 - acrylic on canvas 60x60 in.,https://www.hockney.com/img/gallery/paintings/60s/67A01.jpg,1960.0,1967.0,1960s,paintings,
22,22,22,22,22,"The Room, Manchester Street",1967 - acrylic 96x96 in.,https://www.hockney.com/img/gallery/paintings/60s/67A33.jpg,1960.0,1967.0,1960s,paintings,
23,23,23,23,23,Beverly Hills Housewife,1966 - acrylic on 2 canvas 72x144 in.,https://www.hockney.com/img/gallery/paintings/60s/66B18.jpg,1960.0,1966.0,1960s,paintings,
24,24,24,24,24,Portrait of Nick Wilder,1966 - acrylic on canvas 72x72 in.,https://www.hockney.com/img/gallery/paintings/60s/66B24.jpg,1960.0,1966.0,1960s,paintings,
25,25,25,25,25,Peter Getting Out of Nick’s Pool,1966 - acrylic on canvas 84x84 in.,https://www.hockney.com/img/gallery/paintings/60s/66B21.jpg,1960.0,1966.0,1960s,paintings,
26,26,26,26,26,Man In Shower in Beverly Hills,1964 - acrylic on canvas 65 1/2 x 65 1/2 in.,https://www.hockney.com/img/gallery/paintings/60s/64A31.jpg,1960.0,1964.0,1960s,paintings,
27,27,27,27,27,California Art Collector,1964 - acrylic on canvas 60x72 in.,https://www.hockney.com/img/gallery/paintings/60s/64A30.jpg,1960.0,1964.0,1960s,paintings,
